肖申克的救赎,9.7,2929057人评价,希望让人自由。
霸王别姬,9.6,2162844人评价,风华绝代。
阿甘正传,9.5,2183530人评价,一部美国近现代史。
泰坦尼克号,9.5,2216404人评价,失去的才是永恒的。 
这个杀手不太冷,9.4,2316223人评价,怪蜀黍和小萝莉不得不说的故事。
千与千寻,9.4,2267296人评价,最好的宫崎骏，最好的久石让。 
美丽人生,9.6,1339373人评价,最美的谎言。
星际穿越,9.4,1869931人评价,爱是一种力量，让我们超越时空感知它的存在。
辛德勒的名单,9.6,1117300人评价,拯救一个人，就是拯救整个世界。
盗梦空间,9.4,2087705人评价,诺兰给了我们一场无法盗取的梦。
楚门的世界,9.4,1734341人评价,如果再也不能见到你，祝你早安，午安，晚安。
忠犬八公的故事,9.4,1410746人评价,永远都不能忘记你所爱的人。
海上钢琴师,9.3,1693637人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞,9.2,1876221人评价,英俊版憨豆，高情商版谢耳朵。
放牛班的春天,9.3,1325255人评价,天籁一般的童声，是最接近上帝的存在。 
机器人总动员,9.3,1329474人评价,小瓦力，大人生。
疯狂动物城,9.2,1963069人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
无间道,9.3,1380172人评价,香港电影史上永不过时的杰作。
控方证人,9.6,572181人评价,比利·怀德满分作品。
大话西游之大圣娶亲,9.2,1548474人评价,一生所爱。
熔炉,9.4,940023人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
教父,9.3,978735人评价,千万不要记恨你的对手，这样会让你失去理智。
触不可及,9.3,1129253人评价,满满温情的高雅喜剧。
当幸福来敲门,9.2,1534688人评价,平民励志片。 
末代皇帝,9.3,897132人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
龙猫,9.2,1279083人评价,人人心中都有个龙猫，童年就永远不会消失。
寻梦环游记,9.1,1703871人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
怦然心动,9.1,1851618人评价,真正的幸福是来自内心深处。
活着,9.3,855335人评价,张艺谋最好的电影。
蝙蝠侠：黑暗骑士,9.2,1073137人评价,无尽的黑暗。
哈利·波特与魔法石,9.2,1208177人评价,童话世界的开端。
指环王3：王者无敌,9.3,812236人评价,史诗的终章。
我不是药神,9.0,2126871人评价,对我们国家而言，这样的电影多一部是一部。
乱世佳人,9.3,698987人评价,Tomorrow is another day.
飞屋环游记,9.1,1340082人评价,最后那些最无聊的事情，才是最值得怀念的。 
素媛,9.3,694356人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
哈尔的移动城堡,9.1,1038170人评价,带着心爱的人在天空飞翔。
十二怒汉,9.4,497206人评价,1957年的理想主义。 
何以为家,9.1,1055382人评价,凝视卑弱生命，用电影改变命运。
摔跤吧！爸爸,9.0,1584384人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
让子弹飞,9.0,1717174人评价,你给我翻译翻译，神马叫做TMD的惊喜。
猫鼠游戏,9.1,1039891人评价,骗子大师和执著警探的你追我跑故事。 
天空之城,9.2,883982人评价,对天空的追逐，永不停止。 
鬼子来了,9.3,633411人评价,对敌人的仁慈，就是对自己残忍。
少年派的奇幻漂流,9.1,1360953人评价,瑰丽壮观、无人能及的冒险之旅。
海蒂和爷爷,9.3,626478人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
钢琴家,9.3,649070人评价,音乐能化解仇恨。
大话西游之月光宝盒,9.0,1232896人评价,旷古烁今。
指环王2：双塔奇兵,9.2,761977人评价,承前启后的史诗篇章。
闻香识女人,9.1,896242人评价,史上最美的探戈。
罗马假日,9.1,958578人评价,爱情哪怕只有一天。
死亡诗社,9.2,736536人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
绿皮书,8.9,1667699人评价,去除成见，需要勇气。
天堂电影院,9.2,684087人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
大闹天宫,9.4,443721人评价,经典之作，历久弥新。
指环王1：护戒使者,9.1,856364人评价,传说的开始。
黑客帝国,9.1,846016人评价,视觉革命。
教父2,9.3,559290人评价,优雅的孤独。
狮子王,9.1,852216人评价,动物版《哈姆雷特》。
辩护人,9.2,593628人评价,电影的现实意义大过电影本身。
饮食男女,9.2,627884人评价,人生不能像做菜，把所有的料都准备好了才下锅。
搏击俱乐部,9.0,854421人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
美丽心灵,9.1,776160人评价,爱是一切逻辑和原由。
本杰明·巴顿奇事,9.0,992536人评价,在时间之河里感受溺水之苦。
穿条纹睡衣的男孩,9.2,572248人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
窃听风暴,9.2,569884人评价,别样人生。
情书,8.9,1126468人评价,暗恋的极致。
两杆大烟枪,9.1,600220人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
西西里的美丽传说,8.9,984550人评价,美丽无罪。
看不见的客人,8.8,1283693人评价,你以为你以为的就是你以为的。
音乐之声,9.1,608920人评价,用音乐化解仇恨，让歌声串起美好。
阿凡达,8.8,1434258人评价,绝对意义上的美轮美奂。
拯救大兵瑞恩,9.1,653441人评价,美利坚精神输出大片No1.
哈利·波特与死亡圣器(下),9.0,841974人评价,10年的完美句点。
飞越疯人院,9.1,551757人评价,自由万岁。
小鞋子,9.2,415269人评价,奔跑的孩子是天使。
沉默的羔羊,8.9,899241人评价,安东尼·霍普金斯的顶级表演。
布达佩斯大饭店,8.9,947322人评价,小清新的故事里注入了大历史的情怀。
禁闭岛,8.9,988680人评价,昔日翩翩少年，今日大腹便便。
功夫,8.8,1148605人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
蝴蝶效应,8.9,948137人评价,人的命运被自己瞬间的抉择改变。
致命魔术,8.9,869879人评价,孪生蝙蝠侠大战克隆金刚狼。
哈利·波特与阿兹卡班的囚徒,8.9,741610人评价,不一样的导演，不一样的哈利·波特。
心灵捕手,8.9,721674人评价,人生中应该拥有这样的一段豁然开朗。
超脱,9.0,610478人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
海豚湾,9.3,359423人评价,海豚的微笑，是世界上最高明的伪装。
低俗小说,8.9,841873人评价,故事的高级讲法。
春光乍泄,9.0,638532人评价,爱情纠缠，男女一致。
摩登时代,9.3,304807人评价,大时代中的人生，小人物的悲喜。
美国往事,9.2,416085人评价,往事如烟，无处祭奠。
喜剧之王,8.8,980058人评价,我是一个演员。
致命ID,8.9,834671人评价,最不可能的那个人永远是最可能的。
杀人回忆,8.9,723070人评价,关于连环杀人悬案的集体回忆。
七宗罪,8.8,950607人评价,警察抓小偷，老鼠玩死猫。
红辣椒,9.1,471129人评价,梦的勾结。
加勒比海盗,8.8,867941人评价,约翰尼·德普的独角戏。
哈利·波特与密室,8.9,768896人评价,魔法的密室之门已打开...
一一,9.1,400113人评价,我们都曾经是一一。
狩猎,9.1,396654人评价,人言可畏。
唐伯虎点秋香,8.7,1091316人评价,华太师是黄霑，吴镇宇四大才子之一。
7号房的礼物,8.9,562669人评价,《我是山姆》的《美丽人生》。
被嫌弃的松子的一生,8.9,709202人评价,以戏谑来戏谑戏谑。
请以你的名字呼唤我,8.9,730209人评价,沉醉在电影的情感和视听氛围中无法自拔。
蝙蝠侠：黑暗骑士崛起,8.8,730459人评价,诺兰就是保证。
断背山,8.8,712359人评价,每个人心中都有一座断背山。
剪刀手爱德华,8.7,1042076人评价,浪漫忧郁的成人童话。
爱在黎明破晓前,8.8,691844人评价,缘分是个连绵词，最美不过一瞬。
入殓师,8.9,673577人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
勇敢的心,8.9,562199人评价,史诗大片的典范。
第六感,8.9,561675人评价,深入内心的恐怖，出人意料的结局。
重庆森林,8.8,819361人评价,寂寞没有期限。
超能陆战队,8.7,1024882人评价,Balalala~~~
幽灵公主,8.9,529194人评价,人与自然的战争史诗。
甜蜜蜜,8.9,561685人评价,相逢只要一瞬间，等待却像是一辈子。
爱在日落黄昏时,8.9,568246人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
菊次郎的夏天,8.9,602128人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
借东西的小人阿莉埃蒂,8.9,559543人评价,曾经的那段美好会沉淀为一辈子的记忆。
消失的爱人,8.7,964135人评价,年度最佳date movie。
天使爱美丽,8.7,959768人评价,法式小清新。 
阳光灿烂的日子,8.8,619790人评价,一场华丽的意淫。
完美的世界,9.1,318430人评价,坏人的好总是比好人的好来得更感人。
小森林 夏秋篇,9.0,429685人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
寄生虫,8.8,1383025人评价,
无人知晓,9.1,322607人评价,我的平常生活就是他人的幸福。
倩女幽魂,8.8,744677人评价,两张绝世的脸。 
时空恋旅人,8.8,682036人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
侧耳倾听,8.9,467536人评价,少女情怀总是诗。
幸福终点站,8.8,577023人评价,有时候幸福需要等一等。 
小森林 冬春篇,9.0,382531人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
驯龙高手,8.8,762843人评价,和谐的生活离不开摸头与被摸头。
未麻的部屋,9.1,338903人评价,好的剧本是，就算你猜到了结局也猜不到全部。
哈利·波特与火焰杯,8.8,670720人评价,
一个叫欧维的男人决定去死,8.9,489470人评价,惠及一生的美丽。
教父3,9.0,378733人评价,任何信念的力量，都无法改变命运。
怪兽电力公司,8.8,679979人评价,不要给它起名字，起了名字就有感情了。
萤火之森,8.9,545412人评价,触不到的恋人。
